UID          PID    PPID  C STIME TTY          TIME CMD
aishuvi+    1625    1325  0 16:45 ?        00:00:00 /usr/libexec/xdg-permission-store
aishuvi+    1630    1325  0 16:45 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
aishuvi+    1636    1325  0 16:45 ?        00:00:00 /usr/libexec/evolution-source-registry
aishuvi+    1646    1325  0 16:45 ?        00:00:00 /usr/libexec/evolution-calendar-factory
aishuvi+    1654    1325  0 16:45 ?        00:00:00 /usr/libexec/dconf-service
aishuvi+    1657    1325  0 16:45 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
aishuvi+    1696    1344  0 16:45 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
aishuvi+    1706    1325  0 16:45 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
aishuvi+    1715    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-a11y-settings
aishuvi+    1718    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-color
aishuvi+    1719    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-datetime
aishuvi+    1724    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-housekeeping
aishuvi+    1725    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-keyboard
aishuvi+    1728    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-media-keys
aishuvi+    1732    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-power
aishuvi+    1733    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-print-notifications
aishuvi+    1734    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-rfkill
aishuvi+    1736    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
aishuvi+    1741    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-sharing
aishuvi+    1747    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-smartcard
aishuvi+    1751    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-sound
aishuvi+    1754    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-usb-protection
aishuvi+    1759    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-wacom
aishuvi+    1764    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-wwan
aishuvi+    1772    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-xsettings
aishuvi+    1777    1566  0 16:45 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
aishuvi+    1795    1566  0 16:45 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
aishuvi+    1819    1325  0 16:45 ?        00:00:00 /usr/libexec/gsd-printer
aishuvi+    1854    1599  0 16:45 ?        00:00:00 /usr/libexec/ibus-engine-simple
root        1916       2  0 16:45 ?        00:00:00 [kworker/0:1-events]
aishuvi+    1926    1325  0 16:45 ?        00:00:02 /usr/libexec/gnome-terminal-server
aishuvi+    1934    1926  0 16:45 pts/0    00:00:00 bash
aishuvi+    1961    1325  0 16:46 ?        00:00:00 /usr/libexec/gvfsd-metadata
aishuvi+    1964    1566  0 16:46 ?        00:00:00 update-notifier
root        2320       2  0 16:50 ?        00:00:00 [kworker/0:0-pm]
aishuvi+    2334    1934  0 16:53 pts/0    00:00:00 ps -ef
